"uid","title","journal","issue","volume","pages","date","year","authors","keywords","doi","article_no","isi_id","issn","isbn"
"WOS:000348096200024","Recommendations for the Role of Extracorporeal Treatments in the Management of Acute Methanol Poisoning: A Systematic Review and Consensus Statement","CRITICAL CARE MEDICINE","2","43","461-472","FEB","2015","Roberts, Darren M. | Yates, Christopher | Megarbane, Bruno | Winchester, James F. | Maclaren, Robert | Gosselin, Sophie | Nolin, Thomas D. | Lavergne, Valery | Hoffman, Robert S. | Ghannoum, Marc | Extracorporeal Treatments","acidosis | antidotes | consensus guidelines | Delphi process | dialysis | dialyzability | enhanced elimination | extracorporeal treatment | indications | intoxication | methanol | morbidity | mortality | poisoning | systematic review | triage","10.1097/CCM.0000000000000708",NA,"AZ2YX","0090-3493",NA
"WOS:000404619100010","Genetic Association and Risk Scores in a Chronic Obstructive Pulmonary Disease Meta-analysis of 16,707 Subjects","AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","1","57","35-46","JUL","2017","Busch, Robert | Hobbs, Brian D. | Zhou, Jin | Castaldi, Peter J. | McGeachie, Michael J. | Hardin, Megan E. | Hawrylkiewicz, Iwona | Sliwinski, Pawel | Yim, Jae-Joon | Kim, Woo Jin | Kim, Deog K. | Agusti, Alvar | Make, Barry J. | Crapo, James D. | Calverley, Peter M. | Donner, Claudio F. | Lomas, David A. | Wouters, Emiel F. | Vestbo, Jorgen | Tal-Singer, Ruth | Bakke, Per | Gulsvik, Amund | Litonjua, Augusto A. | Sparrow, David | Pare, Peter D. | Levy, Robert D. | Rennard, Stephen I. | Beaty, Terri H. | Hokanson, John | Silverman, Edwin K. | Cho, Michael H. | Natl Emphysema Treatment Trial Gen | Evaluation COPD Longitudinally Ide | Int COPD Genetics Network | COPDGene Investigator","chronic obstructive pulmonary disease | genetic epidemiology | genetic risk factors | alpha-1 antitrypsin | genetic risk score","10.1165/rcmb.2016-0331OC",NA,"EZ3OA","1044-1549",NA
"WOS:000376331500003","Untangling the Impacts of Climate Change on Waterborne Diseases: a Systematic Review of Relationships between Diarrheal Diseases and Temperature, Rainfall, Flooding, and Drought","ENVIRONMENTAL SCIENCE & TECHNOLOGY","10","50","4905-4922","MAY 17","2016","Levy, Karen | Woster, Andrew P. | Goldstein, Rebecca S. | Carlton, Elizabeth J.","","10.1021/acs.est.5b06186",NA,"DM4QJ","0013-936X",NA
"WOS:000399850800001","Childhood pneumococcal disease in Africa - A systematic review and meta-analysis of incidence, serotype distribution, and antimicrobial susceptibility","VACCINE","15","35","1817-1827","APR 4","2017","Tam, Pui-Ying Iroh | Thielen, Beth K. | Obaro, Stephen K. | Brearley, Ann M. | Kaizer, Alexander M. | Chu, Haitao | Janoff, Edward N.","Streptococcus pneumoniae | Invasive pneumococcal disease | Pneumonia | Serotype | Children | Incidence | Penicillin susceptibility | Systematic review | Meta-analysis","10.1016/j.vaccine.2017.02.045",NA,"ES9BL","0264-410X",NA
"WOS:000361905800001","Narrow-band imaging bronchoscopy in the detection of premalignant airway lesions: a meta-analysis of diagnostic test accuracy","THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE","5","9","207-216","OCT","2015","Iftikhar, Imran H. | Musani, Ali I.","autofluorescence imaging bronchoscopy | meta-analysis | narrow-band imaging bronchoscopy","10.1177/1753465815589698",NA,"CS2MS","1753-4658",NA
"WOS:000414212400012","Systematic review of bladder cancer outcomes in patients with spina bifida","JOURNAL OF PEDIATRIC UROLOGY","5","13","","OCT","2017","Rove, K. O. | Husmann, D. A. | Wilcox, D. T. | Vricella, G. J. | Higuchi, T. T.","Systematic review | Bladder cancer | Bladder augmentation | Spina bifida | Myelomeningocele","10.1016/j.jpurol.2017.05.006",NA,"FL4PI","1477-5131",NA
"WOS:000411824105234","Impact of the Pattern of Interstitial Lung Disease on Mortality in Rheumatoid Arthritis: A Systematic Review and Meta-Analysis","ARTHRITIS & RHEUMATOLOGY",NA,"69","","OCT","2017","Singh, Namrata | Varghese, Jimmy | England, Bryant R. | Solomon, Joshua J. | Michaud, Kaleb | Mikuls, Ted R. | Schweizer, Marin","",NA,NA,"FI2ZP","2326-5191",NA
"WOS:000344654000006","Predictors of efficacy for endobronchial valves in bronchoscopic lung volume reduction: A meta-analysis","CHRONIC RESPIRATORY DISEASE","4","11","237-245","NOV","2014","Iftikhar, Imran H. | McGuire, Franklin R. | Musani, Ali I.","Endobronchial valves | emphysema | lung volume reduction | meta-analysis | chronic obstructive pulmonary disease | bronchoscopy","10.1177/1479972314546766",NA,"AT0WT","1479-9723",NA
"WOS:000370816400003","Establishing psychosocial palliative care standards for children and adolescents with cancer and their families: An integrative review","PALLIATIVE MEDICINE","3","30","212-223","MAR","2016","Weaver, Meaghann S. | Heinze, Katherine E. | Bell, Cynthia J. | Wiener, Lori | Garee, Amy M. | Kelly, Katherine P. | Casey, Robert L. | Watson, Anne | Hinds, Pamela S. | Childrens Natl Hlth Syst","Literature review | palliative care | psychosocial | pediatric oncology | integrative","10.1177/0269216315583446",NA,"DE7KW","0269-2163",NA
"WOS:000466199300003","Reproductive Health of Women Veterans: A Systematic Review of the Literature from 2008 to 2017","SEMINARS IN REPRODUCTIVE MEDICINE","6","36","315-322","NOV","2018","Katon, Jodie G. | Zephyrin, Laurie | Meoli, Anne | Hulugalle, Avanthi | Bosch, Jeane | Callegari, Lisa | Galvan, Ileana V. | Gray, Kristen E. | Haeger, Kristin O. | Hoffmire, Claire | Levis, Silvina | Ma, Erica W. | Mccabe, Jennifer E. | Nillni, Yael I. | Pineles, Suzanne L. | Reddy, Shivani M. | Savitz, David A. | Shaw, Jonathan G. | Patton, Elizabeth W.","women Veterans | reproductive health | health services | deployment | women's health","10.1055/s-0039-1678750",NA,"HV7ZC","1526-8004",NA
"WOS:000414515500009","Non-opioid Pain Management in Benign Minimally Invasive Hysterectomy: A Systematic Review EDITORIAL COMMENT","OBSTETRICAL & GYNECOLOGICAL SURVEY","10","72","589-590","OCT","2017","Blanton, Emily | Lamvu, Georgine | Patanwala, Insiyyah | Barron, Kenneth I. | Witzeman, Kathryn | Tu, Frank F. | As-Sanie, Sawsan","",NA,NA,"FL8QR","0029-7828",NA
"WOS:000453090801297","Meta-Analysis of Deflazacort vs Prednisone/Prednisolone in Patients with Duchenne Muscular Dystrophy","NEUROLOGY",NA,"90","","APR 10","2018","Darras, Basil | Riebling, Peter | O'Mara, Edward | Elfring, Gary | Luo, Xiaohui | Trifillis, Panayiota | McIntosh, Joseph | Santos, Claudio | Parsons, Julie | Shieh, Perry B. | Apkon, Susan | Campbell, Craig | McDonald, Craig","",NA,NA,"HE2FF","0028-3878",NA
"WOS:000404605700012","Taller height as a risk factor for venous thromboembolism: a Mendelian randomization meta-analysis","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","7","15","1334-1343","JUL","2017","Roetker, N. S. | Armasu, S. M. | Pankow, J. S. | Lutsey, P. L. | Tang, W. | Rosenberg, M. A. | Palmer, T. M. | Maclehose, R. F. | Heckbert, S. R. | Cushman, M. | De Andrade, M. | Folsom, A. R.","body height | genetics | Mendelian randomization analysis | meta-analysis | venous thromboembolism","10.1111/jth.13719",NA,"EZ3IX","1538-7933",NA
"WOS:000405275600005","Non-opioid pain management in benign minimally invasive hysterectomy: A systematic review","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","6","216","557-567","JUN","2017","Blanton, Emily | Lamvu, Georgine | Patanwala, Insiyyah | Barron, Kenneth I. | Witzeman, Kathryn | Tu, Frank F. | As-Sanie, Sawsan","gynecological surgery | hysterectomy | laparoscopy | minimally invasive | pain management | non-opioid","10.1016/j.ajog.2016.12.175",NA,"FA2MN","0002-9378",NA
"WOS:000385658800019","Fecal microbiota transplant in patients with Clostridium difficile infection: A systematic review","JOURNAL OF TRAUMA AND ACUTE CARE SURGERY","4","81","756-764","OCT","2016","Chapman, Brandon C. | Moore, Hunter B. | Overbey, Douglas M. | Morton, Alex P. | Harnke, Ben | Gerich, Mark E. | Vogel, Jon D.","Clostridium difficile | colitis | fecal transplant","10.1097/TA.0000000000001195",NA,"DZ2FX","2163-0755",NA
"WOS:000376401500006","Meta-analysis of Positive and Negative Symptoms Reveals Schizophrenia Modifier Genes","SCHIZOPHRENIA BULLETIN","2","42","279-287","MAR","2016","Edwards, Alexis C. | Bigdeli, Tim B. | Docherty, Anna R. | Bacanu, Silviu | Lee, Donghyung | de Candia, Teresa R. | Moscati, Arden | Thiselton, Dawn L. | Maher, Brion S. | Wormley, Brandon K. | Walsh, Dermot | O'Neill, Francis A. | Kendler, Kenneth S. | Riley, Brien P. | Fanous, Ayman H. | Mol Genetics Schizophrenia Collabo","schizophrenia | meta-analysis | clinical heterogeneity | modifier genes | negative symptoms | positive symptoms","10.1093/schbul/sbv119",NA,"DM5PG","0586-7614",NA
"WOS:000332625500003","Efficacy of isoniazid prophylactic therapy in prevention of tuberculosis in children: a meta-analysis","BMC INFECTIOUS DISEASES",NA,"14","","FEB 20","2014","Ayieko, James | Abuogi, Lisa | Simchowitz, Brett | Bukusi, Elizabeth A. | Smith, Allan H. | Reingold, Arthur","Tuberculosis | Isoniazid | Prophylaxis | Meta-analysis | Efficacy | Children","10.1186/1471-2334-14-91",NA,"AC6IN",NA,NA
"WOS:000411970300009","Self-monitoring of blood pressure in hypertension: A systematic review and individual patient data meta-analysis","PLOS MEDICINE","9","14","","SEP","2017","Tucker, Katherine L. | Sheppard, James P. | Stevens, Richard | Bosworth, Hayden B. | Bove, Alfred | Bray, Emma P. | Earley, Kenneth | George, Johnson | Godwin, Marshall | Greee, Beverly B. | Hebert, Paul | Hobbs, F. D. Richard | Kantola, Ilkka | Kerry, Sally M. | Leiva, Alfonso | Magid, David J. | Mant, Jonathan | Margolis, Karen L. | McKinstry, Brian | McLaughlin, Mary Ann | Omboni, Stefano | Ogedegbe, Olugbenga | Parati, Gianfranco | Qamar, Nashat | Tabaei, Bahman P. | Varis, Juha | Verberk, Willem J. | Wakefield, Bonnie J. | McManus, Richard J.","","10.1371/journal.pmed.1002389",NA,"FI4TS","1549-1277",NA
"WOS:000386712700061","Meta-Analysis of Medication Adherence Interventions Among Heart Failure Patients: The Lumpers Make Their Case","JOURNAL OF THE AMERICAN HEART ASSOCIATION","6","5","","JUN","2016","Khazanie, Prateeti | Allen, Larry A.","Editorial | heart failure | medication adherence | meta-analysis | systematic review","10.1161/JAHA.116.003827",NA,"EA6CK","2047-9980",NA
"WOS:000429246600006","Safe Opioid Prescribing for Acute Noncancer Pain in Hospitalized Adults: A Systematic Review of Existing Guidelines","JOURNAL OF HOSPITAL MEDICINE","4","13","256-262","APR","2018","Herzig, Shoshana J. | Calcaterra, Susan L. | Mosher, Hilary J. | Ronan, Matthew V. | Van Groningen, Nicole | Shek, Lili | Loffredo, Anthony | Keller, Michelle | Jena, Anupam B. | Nuckols, Teryl K.","","10.12788/jhm.2979",NA,"GB7HX","1553-5592",NA
"WOS:000356454800007","Hyperbaric oxygen therapy for the treatment of radiation-induced xerostomia: a systematic review","ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY","1","120","22-28","JUL","2015","Fox, Nyssa F. | Xiao, Christopher | Sood, Amit J. | Lovelace, Tiffany L. | Nguyen, Shaun A. | Sharma, Anand | Day, Terry A.","","10.1016/j.oooo.2015.03.007",NA,"CK7YX","2212-4403",NA
"WOS:000429790700014","Impact of quality improvement in tuberculosis laboratories in low- and lower-middle-income countries: a systematic review","INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","3","22","309-+","MAR","2018","Olaru, I. D. | Albert, H. | Zallet, J. | Werner, U-E. | Ahmed, N. | Rieder, H. L. | Salfinger, M. | Kranzer, K.","tuberculosis | laboratory | quality management | quality improvement | EQA | IQA","10.5588/ijtld.17.0629",NA,"GC4XY","1027-3719",NA
"WOS:000401250500409","Socioeconomic Status and Acute Cardiovascular Responses to Stress in the Laboratory: A Systematic Review","PSYCHOSOMATIC MEDICINE","4","79","A153-A154","MAY","2017","Boylan, Jennifer Morozink | Cundiff, Jenny M. | Matthews, Karen A.","",NA,NA,"EU7XW","0033-3174",NA
"WOS:000437678100027","Estimating the incidence of breast cancer in Africa: a systematic review and meta-analysis","JOURNAL OF GLOBAL HEALTH","1","8","","JUN","2018","Adeloye, Davies | Adeloye, Davies | Sowunmi, Olaperi Y. | Jacobs, Wura | David, Rotimi A. | Adeosun, Adeyemi A. | Amuta, Ann O. | Misra, Sanjay | Gadanya, Muktar | Auta, Asa | Harhay, Michael O. | Chan, Kit Yee","","10.7189/jogh.08.010419",NA,"GL9SP","2047-2978",NA
"WOS:000366552700004","Implementation conditions for diet and physical activity interventions and policies: an umbrella review","BMC PUBLIC HEALTH",NA,"15","","DEC 17","2015","Horodyska, Karolina | Luszczynska, Aleksandra | Hayes, Catherine B. | O'Shea, Miriam P. | Langoien, Lars J. | Roos, Gun | van den Berg, Matthijs | Hendriksen, Marieke | De Bourdeaudhuij, Ilse | Brug, Johannes","Implementation | Systematic review | Policy | Intervention | Diet | Physical activity | Sedentary behavior | RE-AIM","10.1186/s12889-015-2585-5",NA,"CY6XS",NA,NA
"WOS:000385665000002","Effects of Testosterone Therapy on Cognitive Function in Aging: A Systematic Review","COGNITIVE AND BEHAVIORAL NEUROLOGY","3","29","122-138","SEP","2016","Hua, Jeremy T. | Hildreth, Kerry L. | Pelak, Victoria S.","testosterone | aging | cognition | visuospatial | dementia","10.1097/WNN.0000000000000104",NA,"DZ2IH","1543-3633",NA
"WOS:000394579700001","Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data","BMJ-BRITISH MEDICAL JOURNAL",NA,"356","","FEB 15","2017","Martineau, Adrian R. | Jolliffe, David A. | Hooper, Richard L. | Greenberg, Lauren | Aloia, John F. | Bergman, Peter | Dubnov-Raz, Gal | Esposito, Susanna | Ganmaa, Davaasambuu | Ginde, Adit A. | Goodall, Emma C. | Grant, Cameron C. | Griffiths, Christopher J. | Janssens, Wim | Laaksi, Ilkka | Manaseki-Holland, Semira | Mauger, David | Murdoch, David R. | Neale, Rachel | Rees, Judy R. | Simpson, Steve, Jr. | Stelmach, Iwona | Kumar, Geeta Trilok | Urashima, Mitsuyoshi | Camargo, Carlos A., Jr.","","10.1136/bmj.i6583",NA,"EL4GM","1756-1833",NA
"WOS:000368592500030","Gluten Introduction to Infant Feeding and Risk of Celiac Disease: Systematic Review and Meta-Analysis","JOURNAL OF PEDIATRICS",NA,"168","132-U214","JAN","2016","Pinto-Sanchez, Maria Ines | Verdu, Elena F. | Liu, Edwin | Bercik, Premysl | Green, Peter H. | Murray, Joseph A. | Guandalini, Stefano | Moayyedi, Paul","","10.1016/j.jpeds.2015.09.032",NA,"DB5ZK","0022-3476",NA
"WOS:000372346000002","Systematic review of the effectiveness of perioperative prophylactic antibiotics for skull base surgeries","AMERICAN JOURNAL OF RHINOLOGY & ALLERGY","2","30","E10-E16","MAR-APR","2016","Rosen, Sheri A. B. | Getz, Anne E. | Kingdom, Todd | Youssef, A. Samy | Ramakrishnan, Vijay R.","","10.2500/ajra.2016.30.4298",NA,"DG8PL","1945-8924",NA
"WOS:000333450400002","Enteral fish oil in critical illness: perspectives and systematic review","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","2","17","116-123","MAR","2014","Glenn, Jacquelyn O'Herrin | Wischmeyer, Paul E.","critical care medicine | eicosapentaenoic acid | intensive care medicine | meta-analysis | nutrition | -3 fatty acid","10.1097/MCO.0000000000000039",NA,"AD7NH","1363-1950",NA
"WOS:000350581300027","INTRAVENOUS LIPID EMULSION IN THE EMERGENCY DEPARTMENT: A SYSTEMATIC REVIEW OF RECENT LITERATURE","JOURNAL OF EMERGENCY MEDICINE","3","48","387-397","MAR","2015","Cao, Dazhe | Heard, Kennon | Foran, Mark | Koyfman, Alex","Lipid emulsion | overdose | lipid solubility | resuscitation","10.1016/j.jemermed.2014.10.009",NA,"CC7XH","0736-4679",NA
"WOS:000417745100036","A dose-response meta-analysis of chronic arsenic exposure and incident cardiovascular disease","INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","6","46","1924-1939","DEC","2017","Moon, Katherine A. | Oberoi, Shilpi | Barchowsky, Aaron | Chen, Yu | Guallar, Eliseo | Nachman, Keeve E. | Rahman, Mahfuzar | Sohel, Nazmul | D'Ippoliti, Daniela | Wade, Timothy J. | James, Katherine A. | Farzan, Shohreh F. | Karagas, Margaret R. | Ahsan, Habibul | Navas-Acien, Ana","Arsenic | cardiovascular disease | dose-response | meta-analysis","10.1093/ije/dyx202",NA,"FP6OJ","0300-5771",NA
"WOS:000349415300003","Good practice characteristics of diet and physical activity interventions and policies: an umbrella review","BMC PUBLIC HEALTH",NA,"15","","JAN 21","2015","Horodyska, Karolina | Luszczynska, Aleksandra | van den Berg, Matthijs | Hendriksen, Marieke | Roos, Gun | De Bourdeaudhuij, Ilse | Brug, Johannes","Physical activity | Sedentary behavior | Diet | Good practice | Intervention | Policy | Systematic review","10.1186/s12889-015-1354-9",NA,"CB1VE","1471-2458",NA
"WOS:000429306700438","Failure to Consider Atopic Status Limits Existing Minimally-Invasive Biomarker Studies in Eosinophilic Esophagitis: A Systematic Review","JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","2","141","AB139-AB139","FEB","2018","Hines, Brittany | Rank, Matthew A. | Wright, Benjamin L. | Marks, Lisa | Greenhawt, Matthew J. | Dellon, Evan S.","",NA,NA,"GB8DX","0091-6749",NA
"WOS:000456557500012","Simultaneous occurrence of ankylosing spondylitis and diffuse idiopathic skeletal hyperostosis: a systematic review","RHEUMATOLOGY","12","57","2120-2128","DEC","2018","Kuperus, Jonneke S. | Waalwijk, Job F. | Regan, Elizabeth A. | van der Horst-Bruinsma, Irene E. | Oner, F. Cumhur | de Jong, Pim A. | Verlaan, Jorrit-Jan","diffuse idiopathic skeletal hyperostosis | spondyloarthritis | ankylosing spondylitis | systematic review | radiography | computed tomography | co-existence | co-occurrence | comorbidity","10.1093/rheumatology/key211",NA,"HI6IH","1462-0324",NA
"WOS:000416584200016","Diagnostic Accuracy of Screening Tests and Treatment for Post-Acute Coronary Syndrome Depression A Systematic Review","ANNALS OF INTERNAL MEDICINE","10","167","725-+","NOV 21","2017","Nieuwsma, Jason A. | Williams, John W., Jr. | Namdari, Natasha | Washam, Jeffrey B. | Raitz, Giselle | Blumenthal, James A. | Jiang, Wei | Yapa, Roshini | McBroom, Amanda J. | Lallinger, Kathryn | Schmidt, Robyn | Kosinski, Andrzej S. | Sanders, Gillian D.","","10.7326/M17-1811",NA,"FO2DP","0003-4819",NA
"WOS:000355088600029","CHRNA5 Risk Variant Predicts Delayed Smoking Cessation and Earlier Lung Cancer Diagnosis-A Meta-Analysis","JNCI-JOURNAL OF THE NATIONAL CANCER INSTITUTE","5","107","","MAY","2015","Chen, Li-Shiun | Hung, Rayjean J. | Baker, Timothy | Horton, Amy | Culverhouse, Rob | Saccone, Nancy | Cheng, Iona | Deng, Bo | Han, Younghun | Hansen, Helen M. | Horsman, Janet | Kim, Claire | Lutz, Sharon | Rosenberger, Albert | Aben, Katja K. | Andrew, Angeline S. | Breslau, Naomi | Chang, Shen-Chih | Dieffenbach, Aida Karina | Dienemann, Hendrik | Frederiksen, Brittni | Han, Jiali | Hatsukami, Dorothy K. | Johnson, Eric O. | Pande, Mala | Wrensch, Margaret R. | McLaughlin, John | Skaug, Vidar | van der Heijden, Henricus F. | Wampfler, Jason | Wenzlaff, Angela | Woll, Penella | Zienolddiny, Shanbeh | Bickeboeller, Heike | Brenner, Hermann | Duell, Eric J. | Haugen, Aage | Heinrich, Joachim | Hokanson, John E. | Hunter, David J. | Kiemeney, Lambertus A. | Lazarus, Philip | Le Marchand, Loic | Liu, Geoffrey | Mayordomo, Jose | Risch, Angela | Schwartz, Ann G. | Teare, Dawn | Wu, Xifeng | Wiencke, John K. | Yang, Ping | Zhang, Zuo-Feng | Spitz, Margaret R. | Kraft, Peter | Amos, Christopher I. | Bierut, Laura J.","","10.1093/jnci/djv100",NA,"CI9KJ","0027-8874",NA
"WOS:000356773200004","Young Drivers and Their Passengers: A Systematic Review of Epidemiological Studies on Crash Risk","JOURNAL OF ADOLESCENT HEALTH","1","57","S24-+","JUL","2015","Ouimet, Marie Claude | Pradhan, Anuj K. | Brooks-Russell, Ashley | Ehsani, Johnathon P. | Berbiche, Djamal | Simons-Morton, Bruce G.","","10.1016/j.jadohealth.2015.03.010",NA,"CL2KS","1054-139X",NA
"WOS:000385795800001","Food fortification for bone health in adulthood: a scoping review","EUROPEAN JOURNAL OF CLINICAL NUTRITION","10","70","1099-1105","OCT","2016","Whiting, S. J. | Kohrt, W. M. | Warren, M. P. | Kraenzlin, M. I. | Bonjour, J-P","","10.1038/ejcn.2016.42",NA,"DZ3ZR","0954-3007",NA
"WOS:000360986400033","Individual patient data meta-analysis of self-monitoring of blood pressure (BP-SMART)","JOURNAL OF HUMAN HYPERTENSION","10","29","635-635","OCT","2015","Tucker, Katherine L. | Sheppard, James P. | Stevens, Richard | Bosworth, Hayden B. | Bove, Alfred | Bray, Emma P. | Godwin, Marshal | Green, Beverly | Hebert, Paul | Hobbs, F. D. Richard | Kantola, Ilkka | Kerry, Sally | Magid, David J. | Mant, Jonathan | Margolis, Karen L. | McKinstry, Brian | Omboni, Stefano | Ogedegbe, Olugbenga | Parati, Gianfranco | Qamar, Nashat | Varis, Juha | Verberk, Willem | Wakefield, Bonnie J. | McManus, Richard J.","",NA,NA,"CR0CS","0950-9240",NA
"WOS:000363867900003","The efficacy of Lu-177-labelled peptide receptor radionuclide therapy in patients with neuroendocrine tumours: a meta-analysis","EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","13","42","1964-1970","DEC","2015","Kim, Seong-Jang | Pak, Kyoungjune | Koo, Phillip J. | Kwak, Jennifer J. | Chang, Samuel","Neuroendocrine tumour | Lutetium | Radionuclide therapy | Peptide receptor therapy","10.1007/s00259-015-3155-x",NA,"CU9MF","1619-7070",NA
"WOS:000413181404319","QUALITATIVE SYSTEMATIC REVIEW: LACK OF CONSENSUS ON THE CLASSIFICATION CRITERIA FOR DIFFUSE IDIOPATHIC SKELETAL HYPEROSTOSIS","ANNALS OF THE RHEUMATIC DISEASES",NA,"76","1423-1423","JUN","2017","Kuperus, J. S. | de Gendt, E. E. | Oner, F. C. | de Jong, P. A. | Buckens, S. C. | van der Merwe, A. E. | Maat, G. J. | Regan, E. A. | Resnick, D. | Mader, R. | Verlaan, J. -J.","","10.1136/annrheumdis-2017-eular.4656",NA,"FK0PH","0003-4967",NA
"WOS:000436574700008","Heart Failure Management in Nursing Homes: A Scoping Literature Review","CANADIAN JOURNAL OF CARDIOLOGY","7","34","871-880","JUL","2018","Heckman, George A. | Shamji, Alyana Karim | Ladha, Raisa | Stapleton, Jackie | Boscart, Veronique | Boxer, Rebecca S. | Martin, Lora Bruyn | Crutchlow, Lauren | McKelvie, Robert S.","","10.1016/j.cjca.2018.04.006",NA,"GK9MP","0828-282X",NA
"WOS:000381617700001","Probiotic and synbiotic therapy in critical illness: a systematic review and meta-analysis","CRITICAL CARE",NA,"20","","AUG 19","2016","Manzanares, William | Lemieux, Margot | Langlois, Pascal L. | Wischmeyer, Paul E.","Probiotics | Synbiotics | Critical care | Infections | Ventilator associated pneumonia | Systematic review","10.1186/s13054-016-1434-y",NA,"DT6TT","1466-609X",NA
"WOS:000387780100003","Quality of meta-analyses for randomized trials in the field of hypertension: a systematic review","JOURNAL OF HYPERTENSION","12","34","2305-2317","DEC","2016","Roush, George C. | Amante, Brigani | Singh, Tanveer | Ayele, Hiwot | Araoye, Morakinyo | Yang, Danwen | Kostis, William J. | Elliott, William J. | Kostis, John B. | Berlin, Jesse A.","blood pressure | hypertension | meta-analysis as topic | randomized controlled trials [publication type] | review [publication type] | systematic review","10.1097/HJH.0000000000001094",NA,"EC0HM","0263-6352",NA
"WOS:000441137000014","Minimally invasive biomarker studies in eosinophilic esophagitis A systematic review","ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","2","121","218-228","AUG","2018","Hines, Brittany T. | Rank, Matthew A. | Wright, Benjamin L. | Marks, Lisa A. | Hagan, John B. | Straumann, Alex | Greenhawt, Matthew | Dellon, Evan S.","","10.1016/j.anai.2018.05.005",NA,"GP8CH","1081-1206",NA
"WOS:000356177700019","Economic Burden of Psoriasis in the United States A Systematic Review","JAMA DERMATOLOGY","6","151","651-658","JUN","2015","Brezinski, Elizabeth A. | Dhillon, Jaskaran S. | Armstrong, April W.","","10.1001/jamadermatol.2014.3593",NA,"CK4FN","2168-6068",NA
"WOS:000363484000065","Individual patient data meta-analysis of self-monitoring of blood pressure (BP-SMART): a protocol","BMJ OPEN","9","5","",NA,"2015","Tucker, Katherine L. | Sheppard, James P. | Stevens, Richard | Bosworth, Hayden B. | Bove, Alfred | Bray, Emma P. | Godwin, Marshal | Green, Beverly | Hebert, Paul | Hobbs, F. D. Richard | Kantola, Ilkka | Kerry, Sally | Magid, David J. | Mant, Jonathan | Margolis, Karen L. | McKinstry, Brian | Omboni, Stefano | Ogedegbe, Olugbenga | Parati, Gianfranco | Qamar, Nashat | Varis, Juha | Verberk, Willem | Wakefield, Bonnie J. | McManus, Richard J.","","10.1136/bmjopen-2015-008532",NA,"CU4FZ","2044-6055",NA
"WOS:000427902500001","Exercise-induced increase in brain-derived neurotrophic factor in human Parkinson's disease: a systematic review and meta-analysis","TRANSLATIONAL NEURODEGENERATION",NA,"7","","MAR 20","2018","Hirsch, Mark A. | van Wegen, Erwin E. H. | Newman, Mark A. | Heyn, Patricia C.","Brain derived neurotrophic factor | Exercise | Rehabilitation | Systematic review | Parkinson's disease","10.1186/s40035-018-0112-1",NA,"FZ9AR","2047-9158",NA
"WOS:000436977600015","Implementing Prehospital Evidence-Based Guidelines: A Systematic Literature Review","PREHOSPITAL EMERGENCY CARE","4","22","511-519",NA,"2018","Fishe, Jennifer N. | Crowe, Remle P. | Cash, Rebecca E. | Nudell, Nikiah G. | Martin-Gill, Christian | Richards, Christopher T. | Prehosp Guidelines Consortium","evidence-based guideline (EBG) | grading of recommendations | assessment | development | and evaluation (GRADE) | implementation | systematic review","10.1080/10903127.2017.1413466",NA,"GL2TI","1090-3127",NA
"WOS:000448820100027","Qiita: rapid, web-enabled microbiome meta-analysis","NATURE METHODS","10","15","796-+","OCT","2018","Gonzalez, Antonio | Navas-Molina, Jose A. | Kosciolek, Tomasz | McDonald, Daniel | Vazquez-Baeza, Yoshiki | Ackermann, Gail | DeReus, Jeff | Janssen, Stefan | Swafford, Austin D. | Orchanian, Stephanie B. | Sanders, Jon G. | Shorenstein, Joshua | Holste, Hannes | Petrus, Semar | Robbins-Pianka, Adam | Brislawn, Colin J. | Wang, Mingxun | Rideout, Jai Ram | Bolyen, Evan | Dillon, Matthew | Caporaso, J. Gregory | Dorrestein, Pieter C. | Knight, Rob","","10.1038/s41592-018-0141-9",NA,"GY7UD","1548-7091",NA
"WOS:000428840700010","Community mobility after stroke: a systematic review","TOPICS IN STROKE REHABILITATION","3","25","224-238",NA,"2018","Wesselhoff, Steven | Hanke, Timothy A. | Evans, Christian C.","Stroke | cerebrovascular accident | community mobility | participation | stroke outcome measures | community reintegration | physical therapy","10.1080/10749357.2017.1419617",NA,"GB1WD","1074-9357",NA
