"","doi","pmid","uid","title","year","journal"
"16","10.1016/J.JCHF.2018.03.019",30007556,"WOS:000442786300005","AMBULATORY INOTROPE INFUSIONS IN ADVANCED HEART FAILURE: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"JACC. Heart failure"
"17","10.1016/J.CJCA.2018.04.006",29960616,"WOS:000436574700008","HEART FAILURE MANAGEMENT IN NURSING HOMES: A SCOPING LITERATURE REVIEW.",2019,"The Canadian journal of cardiology"
"18","10.1016/J.CGH.2018.06.005",29908360,"WOS:000447826300016","HETEROGENEITY IN CLINICAL, ENDOSCOPIC, AND HISTOLOGIC OUTCOME MEASURES AND PLACEBO RESPONSE RATES IN CLINICAL TRIALS OF EOSINOPHILIC ESOPHAGITIS: A SYSTEMATIC REVIEW.",2019,"Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association"
"19","10.1513/ANNALSATS.201711-856OC",29877715,"WOS:000447986700016","COMPUTED TOMOGRAPHY BRONCHUS SIGN AND THE DIAGNOSTIC YIELD OF GUIDED BRONCHOSCOPY FOR PERIPHERAL PULMONARY LESIONS. A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"Annals of the American Thoracic Society"
"20","10.1177/2325967118770986",29770344,"WOS:000432327800001","IS DELAYED WEIGHTBEARING AFTER MATRIX-ASSOCIATED AUTOLOGOUS CHONDROCYTE IMPLANTATION IN THE KNEE ASSOCIATED WITH BETTER OUTCOMES? A SYSTEMATIC REVIEW OF RANDOMIZED CONTROLLED TRIALS.",2018,"Orthopaedic journal of sports medicine"
"21","10.1016/J.ANAI.2018.05.005",29753832,"WOS:000441137000014","MINIMALLY INVASIVE BIOMARKER STUDIES IN EOSINOPHILIC ESOPHAGITIS: A SYSTEMATIC REVIEW.",2019,"Annals of allergy, asthma &amp; immunology : official publication of the American College of Allergy, Asthma, &amp; Immunology"
"22","10.7189/JOGH.08.010419",29740502,"WOS:000437678100027","ESTIMATING THE INCIDENCE OF BREAST CANCER IN AFRICA: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"Journal of global health"
"23","10.1007/S40273-018-0658-X",29736895,"WOS:000436593900007","COST-EFFECTIVENESS OF BIOLOGICAL ASTHMA TREATMENTS: A SYSTEMATIC REVIEW AND RECOMMENDATIONS FOR FUTURE ECONOMIC EVALUATIONS.",2019,"PharmacoEconomics"
"24","10.1183/16000617.0139-2017",29720509,"WOS:000437470300007","STATE OF THE ART IN INTERSTITIAL PNEUMONIA WITH AUTOIMMUNE FEATURES: A SYSTEMATIC REVIEW ON RETROSPECTIVE STUDIES AND SUGGESTIONS FOR FURTHER ADVANCES.",2018,"European respiratory review : an official journal of the European Respiratory Society"
"25","10.1016/J.WNEU.2018.02.196",29673823,"WOS:000436519600178","CAROTID ARTERY ENDARTERECTOMY VERSUS CAROTID ARTERY STENTING FOR RESTENOSIS AFTER CAROTID ARTERY ENDARTERECTOMY: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"World neurosurgery"
"26","10.1183/13993003.01962-2017",29650561,"WOS:000435212900006","META-ANALYSIS OF AIRWAY EPITHELIUM GENE EXPRESSION IN ASTHMA.",2019,"The European respiratory journal"
"27","10.1055/S-0038-1636519",29628614,"WOS:000429245900007","PELVIC CONGESTION SYNDROME: SYSTEMATIC REVIEW OF TREATMENT SUCCESS.",2019,"Seminars in interventional radiology"
"28","10.1016/J.ARTHRO.2018.01.047",29628379,"WOS:000432162600054","QUADRICEPS TENDON AUTOGRAFT FOR PRIMARY ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION: A SYSTEMATIC REVIEW OF COMPARATIVE STUDIES WITH MINIMUM 2-YEAR FOLLOW-UP.",2019,"Arthroscopy : the journal of arthroscopic &amp; related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association"
"29","10.12788/JHM.2979",29624188,"WOS:000429246600006","SAFE OPIOID PRESCRIBING FOR ACUTE NONCANCER PAIN IN HOSPITALIZED ADULTS: A SYSTEMATIC REVIEW OF EXISTING GUIDELINES.",2019,"Journal of hospital medicine"
"30","10.3389/FPUBH.2018.00064",29616206,"WOS:000429554900001","PARENTAL FACTORS INFLUENCING THE DEVELOPMENT OF EARLY CHILDHOOD CARIES IN DEVELOPING NATIONS: A SYSTEMATIC REVIEW.",2018,"Frontiers in public health"
"31","10.1186/S40035-018-0112-1",29568518,"WOS:000427902500001","EXERCISE-INDUCED INCREASE IN BRAIN-DERIVED NEUROTROPHIC FACTOR IN HUMAN PARKINSON'S DISEASE: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"Translational neurodegeneration"
"32","10.1177/1043454218762705",29566596,"WOS:000434393600004","ASSESSMENT TOOLS FOR PERIPHERAL NEUROPATHY IN PEDIATRIC ONCOLOGY: A SYSTEMATIC REVIEW FROM THE CHILDREN'S ONCOLOGY GROUP.",2019,"Journal of pediatric oncology nursing : official journal of the Association of Pediatric Oncology Nurses"
"33","10.1093/JJCO/HYY029",29554287,"WOS:000431144300008","INTENSITY-MODULATED RADIOTHERAPY VERSUS THREE-DIMENSIONAL CONFORMAL RADIOTHERAPY IN RECTAL CANCER TREATED WITH NEOADJUVANT CONCURRENT CHEMORADIATION: A META-ANALYSIS AND POOLED-ANALYSIS OF ACUTE TOXICITY.",2018,"Japanese journal of clinical oncology"
"34","10.1016/J.ANAI.2018.03.010",29551402,"WOS:000448665400005","SYSTEMATIC REVIEW OF PROFESSIONAL LIABILITY WHEN PRESCRIBING Β-LACTAMS FOR PATIENTS WITH A KNOWN PENICILLIN ALLERGY.",2019,"Annals of allergy, asthma &amp; immunology : official publication of the American College of Allergy, Asthma, &amp; Immunology"
"35","10.1093/NEUROS/NYY037",29538685,"WOS:000439697700012","CONGRESS OF NEUROLOGICAL SURGEONS SYSTEMATIC REVIEW AND EVIDENCE-BASED GUIDELINE ON SUBTHALAMIC NUCLEUS AND GLOBUS PALLIDUS INTERNUS DEEP BRAIN STIMULATION FOR THE TREATMENT OF PATIENTS WITH PARKINSON'S DISEASE: EXECUTIVE SUMMARY.",2019,"Neurosurgery"
"36","10.5588/IJTLD.17.0629",29471910,"WOS:000429790700014","IMPACT OF QUALITY IMPROVEMENT IN TUBERCULOSIS LABORATORIES IN LOW- AND LOWER-MIDDLE-INCOME COUNTRIES: A SYSTEMATIC REVIEW.",2019,"The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease"
"37","10.1053/J.GASTRO.2018.02.022",29458154,"WOS:000433992200028","THE EFFECT OF ENDOSCOPIC SURVEILLANCE IN PATIENTS WITH BARRETT'S ESOPHAGUS: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"Gastroenterology"
"38","10.1007/S40279-018-0871-Y",29453743,"WOS:000438111000005","NEUROMUSCULAR CONTROL DEFICITS AND THE RISK OF SUBSEQUENT INJURY AFTER A CONCUSSION: A SCOPING REVIEW.",2018,"Sports medicine (Auckland, N.Z.)"
"39","10.1007/S00403-018-1808-X",29442137,"WOS:000430830100002","TREATMENT PREFERENCES AND TREATMENT SATISFACTION AMONG PSORIASIS PATIENTS: A SYSTEMATIC REVIEW.",2018,"Archives of dermatological research"
"40","10.1177/2050640617707862",29435310,"WOS:000423192600003","RISK OF HISTOLOGIC BARRETT'S ESOPHAGUS BETWEEN AFRICAN AMERICANS AND NON-HISPANIC WHITES: A META-ANALYSIS.",2018,"United European gastroenterology journal"
"41","10.1136/EMERMED-2017-206944",29431143,"WOS:000430831200010","EFFECTS OF PROPHYLACTIC ANTICHOLINERGIC MEDICATIONS TO DECREASE EXTRAPYRAMIDAL SIDE EFFECTS IN PATIENTS TAKING ACUTE ANTIEMETIC DRUGS: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"Emergency medicine journal : EMJ"
"42","10.1016/J.ARTHRO.2017.10.048",29366742,"WOS:000432162600049","UTILITY OF MODERN ARTHROSCOPIC SIMULATOR TRAINING MODELS: A META-ANALYSIS AND UPDATED SYSTEMATIC REVIEW.",2019,"Arthroscopy : the journal of arthroscopic &amp; related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association"
"43","10.1016/J.ARTHRO.2017.11.032",29366740,"WOS:000430270900067","KNEE OSTEOARTHRITIS AFTER ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION WITH BONE-PATELLAR TENDON-BONE VERSUS HAMSTRING TENDON AUTOGRAFT: A SYSTEMATIC REVIEW OF RANDOMIZED CONTROLLED TRIALS.",2019,"Arthroscopy : the journal of arthroscopic &amp; related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association"
"44","10.1097/MAO.0000000000001672",29342035,"WOS:000457772600013","SYSTEMATIC REVIEW OF HEARING PRESERVATION AFTER RADIOTHERAPY FOR VESTIBULAR SCHWANNOMA.",2019,"Otology &amp; neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology"
"45","10.1007/S00167-018-4838-1",29340746,"WOS:000439446600007","SIMILAR CLINICAL OUTCOMES FOLLOWING COLLAGEN OR POLYURETHANE MENISCAL SCAFFOLD IMPLANTATION: A SYSTEMATIC REVIEW.",2018,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA"
"46","10.1080/10749357.2017.1419617",29322861,"WOS:000428840700010","COMMUNITY MOBILITY AFTER STROKE: A SYSTEMATIC REVIEW.",2018,"Topics in stroke rehabilitation"
"47","10.1111/DME.13568",29247556,"WOS:000427563500002","BEST FRIEND OR SPY: A QUALITATIVE META-SYNTHESIS ON THE IMPACT OF CONTINUOUS GLUCOSE MONITORING ON LIFE WITH TYPE 1 DIABETES.",2018,"Diabetic medicine : a journal of the British Diabetic Association"
"48","10.1016/J.AJIC.2017.10.002",29195585,"WOS:000416571600025","JOURNAL CLUB: COMMENTARY ON &QUOT;RISK FACTORS FOR MRSA COLONIZATION IN THE NEONATAL ICU: A SYSTEMATIC REVIEW AND META-ANALYSIS&QUOT;.",2019,"American journal of infection control"
"49","10.1016/J.CELREP.2017.11.028",29186694,"WOS:000416979500022","LARGE-SCALE COGNITIVE GWAS META-ANALYSIS REVEALS TISSUE-SPECIFIC NEURAL EXPRESSION AND POTENTIAL NOOTROPIC DRUG TARGETS.",2018,"Cell reports"
"50","10.1016/J.NEUBIOREV.2017.11.012",29180258,"WOS:000419419000012","TEN SIMPLE RULES FOR NEUROIMAGING META-ANALYSIS.",2018,"Neuroscience and biobehavioral reviews"
"51","10.1089/HAM.2016.0131",29161114,"WOS:000417205400001","SUICIDE AND HIGH ALTITUDE: AN INTEGRATIVE REVIEW.",2019,"High altitude medicine &amp; biology"
"52","10.1016/J.JPEDSURG.2017.10.053",29153467,"WOS:000436607100023","OVARIAN TORSION IN PEDIATRIC AND ADOLESCENT PATIENTS: A SYSTEMATIC REVIEW.",2018,"Journal of pediatric surgery"
"53","10.1177/2325967117736484",29152522,"WOS:000414875500001","BONE-PATELLAR TENDON-BONE VERSUS HAMSTRING TENDON AUTOGRAFTS FOR PRIMARY ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION: A SYSTEMATIC REVIEW OF OVERLAPPING META-ANALYSES.",2018,"Orthopaedic journal of sports medicine"
"54","10.1080/1354750X.2017.1397194",29144175,"WOS:000424772500001","PREGNANCY ASSOCIATED PLASMA PROTEIN-A AS A PROGNOSTIC BIOMARKER OF ALL-CAUSE MORTALITY AND CARDIOVASCULAR EVENTS IN PATIENTS PRESENTING WITH CHEST PAIN: A SYSTEMATIC REVIEW.",2018,"Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals"
"55","10.1002/AJMG.A.38512",29130597,"WOS:000417872600014","CO-OCCURRING MEDICAL CONDITIONS IN ADULTS WITH DOWN SYNDROME: A SYSTEMATIC REVIEW TOWARD THE DEVELOPMENT OF HEALTH CARE GUIDELINES.",2018,"American journal of medical genetics. Part A"
"56","10.1111/EPI.13908",29105071,"WOS:000414511200006","IDENTIFICATION AND CHARACTERIZATION OF OUTCOME MEASURES REPORTED IN ANIMAL MODELS OF EPILEPSY: PROTOCOL FOR A SYSTEMATIC REVIEW OF THE LITERATURE-A TASK2 REPORT OF THE AES/ILAE TRANSLATIONAL TASK FORCE OF THE ILAE.",2017,"Epilepsia"
"57","10.1002/HED.24988",29083525,"WOS:000419995600023","ANTIBIOTIC PROPHYLAXIS IN CLEAN-CONTAMINATED HEAD AND NECK CASES WITH MICROVASCULAR FREE FLAP RECONSTRUCTION: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"Head &amp; neck"
"58","10.1302/1863-2548.11.170109",29081856,"WOS:000412709200011","CAST WEDGING: A SYSTEMATIC REVIEW OF THE PRESENT EVIDENCE.",2018,"Journal of children's orthopaedics"
"59","10.1093/IJE/DYX202",29040626,"WOS:000417745100036","A DOSE-RESPONSE META-ANALYSIS OF CHRONIC ARSENIC EXPOSURE AND INCIDENT CARDIOVASCULAR DISEASE.",2018,"International journal of epidemiology"
"60","10.1002/CCD.27359",29024274,"WOS:000444945000018","SECOND-GENERATION DRUG-ELUTING STENTS VERSUS DRUG-COATED BALLOONS FOR THE TREATMENT OF CORONARY IN-STENT RESTENOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography &amp; Interventions"
"61","10.1007/S00484-017-1455-5",29022096,"WOS:000427658000016","THE ASSOCIATION BETWEEN AMBIENT TEMPERATURE AND CHILDHOOD ASTHMA: A SYSTEMATIC REVIEW.",2018,"International journal of biometeorology"
"62","10.1371/JOURNAL.PONE.0185682",29016655,"WOS:000412601800022","META-ANALYSIS OF PERIPHERAL BLOOD GENE EXPRESSION MODULES FOR COPD PHENOTYPES.",2017,"PloS one"
"63","10.1002/ALR.22015",28985031,"WOS:000414183900012","TRENDS IN SINUSITIS RESEARCH: A SYSTEMATIC REVIEW OF EXTRAMURAL FUNDING.",2018,"International forum of allergy &amp; rhinology"
"64","10.1016/J.JAIP.2017.07.032",28941668,"WOS:000432461800031","EXTRAFINE VERSUS FINE INHALED CORTICOSTEROIDS IN RELATION TO ASTHMA CONTROL: A SYSTEMATIC REVIEW AND META-ANALYSIS OF OBSERVATIONAL REAL-LIFE STUDIES.",2019,"The journal of allergy and clinical immunology. In practice"
"65","10.1016/J.ANAI.2017.07.010",28890018,"WOS:000410691200006","THE ALLERGENICITY OF GENETICALLY MODIFIED FOODS FROM GENETICALLY ENGINEERED CROPS: A NARRATIVE AND SYSTEMATIC REVIEW.",2017,"Annals of allergy, asthma &amp; immunology : official publication of the American College of Allergy, Asthma, &amp; Immunology"
"66","10.1111/JGS.15047",28873218,"WOS:000417836200009","ASSOCIATIONS BETWEEN FALLS AND DRIVING OUTCOMES IN OLDER ADULTS: SYSTEMATIC REVIEW AND META-ANALYSIS.",2017,"Journal of the American Geriatrics Society"
"67","10.2215/CJN.01860217",28798221,"WOS:000409524200005","EGFR AND ALBUMINURIA IN RELATION TO RISK OF INCIDENT ATRIAL FIBRILLATION: A META-ANALYSIS OF THE JACKSON HEART STUDY, THE MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS, AND THE CARDIOVASCULAR HEALTH STUDY.",2018,"Clinical journal of the American Society of Nephrology : CJASN"
"68","10.1111/OBR.12582",28742946,"WOS:000409340200007","THE ASSOCIATION BETWEEN OBESITY AND ACADEMIC PERFORMANCE IN YOUTH: A SYSTEMATIC REVIEW.",2018,"Obesity reviews : an official journal of the International Association for the Study of Obesity"
"69","10.7326/M17-0598",28715848,"WOS:000406631400008","PATIENT OUTCOMES IN DOSE REDUCTION OR DISCONTINUATION OF LONG-TERM OPIOID THERAPY: A SYSTEMATIC REVIEW.",2017,"Annals of internal medicine"
"70","10.1080/09593985.2017.1345026",28715273,"WOS:000407563200002","PHYSIOLOGICAL EFFECTS OF PHYSICAL THERAPY INTERVENTIONS ON LUMBAR INTERVERTEBRAL DISCS: A SYSTEMATIC REVIEW.",2018,"Physiotherapy theory and practice"
"71","10.1177/0194599817717674",28695766,"WOS:000414308000005","ENDOSCOPIC MANAGEMENT OF PARANASAL SINUS MUCOCELES: META-ANALYSIS OF VISUAL OUTCOMES.",2017,"Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery"
"72","10.1016/S0140-6736(17)30938-8",28689664,"WOS:000408746300024","GLOBAL, REGIONAL, AND NATIONAL DISEASE BURDEN ESTIMATES OF ACUTE LOWER RESPIRATORY INFECTIONS DUE TO RESPIRATORY SYNCYTIAL VIRUS IN YOUNG CHILDREN IN 2015: A SYSTEMATIC REVIEW AND MODELLING STUDY.",2018,"Lancet (London, England)"
"73","10.1016/J.JPUROL.2017.05.006",28687411,"WOS:000414212400012","SYSTEMATIC REVIEW OF BLADDER CANCER OUTCOMES IN PATIENTS WITH SPINA BIFIDA.",2018,"Journal of pediatric urology"
"74","10.1016/J.AMJMED.2017.05.041",28687263,"WOS:000410998300041","BRIEF MINDFULNESS PRACTICES FOR HEALTHCARE PROVIDERS - A SYSTEMATIC LITERATURE REVIEW.",2017,"The American journal of medicine"
"75","10.1177/0363546517713164",28636429,"WOS:000433616400031","AUTOGRAFT VERSUS ALLOGRAFT FOR POSTERIOR CRUCIATE LIGAMENT RECONSTRUCTION: AN UPDATED SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"The American journal of sports medicine"
"76","10.1177/2325967117709250",28620621,"WOS:000403047100001","MATRIX-ASSISTED AUTOLOGOUS CHONDROCYTE TRANSPLANTATION IN THE KNEE: A SYSTEMATIC REVIEW OF MID- TO LONG-TERM CLINICAL OUTCOMES.",2018,"Orthopaedic journal of sports medicine"
"77","10.1016/J.CGH.2017.06.002",28606848,"WOS:000415165200017","ASSOCIATION BETWEEN ENDOSCOPIST AND CENTER ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY VOLUME WITH PROCEDURE SUCCESS AND ADVERSE OUTCOMES: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2018,"Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association"
"78","10.1016/J.BBI.2017.06.003",28606462,"WOS:000406986700007","GROWING LITERATURE BUT LIMITED EVIDENCE: A SYSTEMATIC REVIEW REGARDING PREBIOTIC AND PROBIOTIC INTERVENTIONS FOR THOSE WITH TRAUMATIC BRAIN INJURY AND/OR POSTTRAUMATIC STRESS DISORDER.",2018,"Brain, behavior, and immunity"
"79","10.1007/S13142-017-0502-4",28589531,"WOS:000418894100013","HOW CAN CLINICAL PRACTICES PRAGMATICALLY INCREASE PHYSICAL ACTIVITY FOR PATIENTS WITH TYPE 2 DIABETES? A SYSTEMATIC REVIEW.",2018,"Translational behavioral medicine"
"80","10.1007/S00198-017-4097-X",28580510,"WOS:000407492700009","BONE MINERAL DENSITY AT FEMORAL NECK AND LUMBAR SPINE IN ADULTS WITH TYPE 1 DIABETES: A META-ANALYSIS AND REVIEW OF THE LITERATURE.",2018,"Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA"
"81","10.1186/S12889-017-4239-2",28482868,"WOS:000400819600002","THE EPIDEMIOLOGY OF DROWNING IN LOW- AND MIDDLE-INCOME COUNTRIES: A SYSTEMATIC REVIEW.",2017,"BMC public health"
"82","10.1111/JTH.13719",28445597,"WOS:000404605700012","TALLER HEIGHT AS A RISK FACTOR FOR VENOUS THROMBOEMBOLISM: A MENDELIAN RANDOMIZATION META-ANALYSIS.",2018,"Journal of thrombosis and haemostasis : JTH"
"83","10.1016/J.CLGC.2017.02.003",28442227,"WOS:000415053200029","LAPAROSCOPIC VERSUS PERCUTANEOUS CRYOABLATION OF SMALL RENAL MASS: SYSTEMATIC REVIEW AND CUMULATIVE ANALYSIS OF COMPARATIVE STUDIES.",2018,"Clinical genitourinary cancer"
"84","10.1016/J.SPINEE.2017.04.005",28434926,"WOS:000406916700018","SCOPING REVIEW TO DEVELOP COMMON DATA ELEMENTS FOR LUMBAR SPINAL STENOSIS.",2018,"The spine journal : official journal of the North American Spine Society"
"85","10.1177/0363546517701912",28423287,"WOS:000429461800033","MICROFRACTURE VERSUS AUTOLOGOUS CHONDROCYTE IMPLANTATION FOR ARTICULAR CARTILAGE LESIONS IN THE KNEE: A SYSTEMATIC REVIEW OF 5-YEAR OUTCOMES.",2019,"The American journal of sports medicine"
"86","10.1177/1357633X17696587",28350281,"WOS:000432094000002","A SYSTEMATIC REVIEW OF SATISFACTION WITH TELEDERMATOLOGY.",2018,"Journal of telemedicine and telecare"
"87","10.1177/1947603516670709",28317389,"WOS:000415355700002","PRP FOR DEGENERATIVE CARTILAGE DISEASE: A SYSTEMATIC REVIEW OF CLINICAL STUDIES.",2018,"Cartilage"
"88","10.1016/J.JCRC.2017.03.005",28315586,"WOS:000415204800006","SUCRALFATE VERSUS HISTAMINE 2 RECEPTOR ANTAGONISTS FOR STRESS ULCER PROPHYLAXIS IN ADULT CRITICALLY ILL PATIENTS: A META-ANALYSIS AND TRIAL SEQUENTIAL ANALYSIS OF RANDOMIZED TRIALS.",2018,"Journal of critical care"
"89","10.1186/S12978-016-0267-0",28302136,"WOS:000397445600001","ERRATUM TO: MEASURING ADOLESCENT FRIENDLY HEALTH SERVICES IN INDIA: A SCOPING REVIEW OF EVALUATIONS.",2018,"Reproductive health"
"90","10.1177/0363546517692543",28288280,"WOS:000412484500026","EARLY VERSUS DELAYED MOTION AFTER ROTATOR CUFF REPAIR: A SYSTEMATIC REVIEW OF OVERLAPPING META-ANALYSES.",2018,"The American journal of sports medicine"
"91","10.1016/J.VACCINE.2017.02.045",28284682,"WOS:000399850800001","CHILDHOOD PNEUMOCOCCAL DISEASE IN AFRICA - A SYSTEMATIC REVIEW AND META-ANALYSIS OF INCIDENCE, SEROTYPE DISTRIBUTION, AND ANTIMICROBIAL SUSCEPTIBILITY.",2017,"Vaccine"
"92","10.1097/CIN.0000000000000329",28240616,"WOS:000412430000012","USE OF ELECTRONIC HEALTH RECORDS BY NURSES FOR SYMPTOM MANAGEMENT IN INPATIENT SETTINGS: A SYSTEMATIC REVIEW.",2017,"Computers, informatics, nursing : CIN"
"93","10.1016/J.PEDIATRNEUROL.2016.12.009",28216033,"WOS:000398650500002","SAFETY OF TRANSCRANIAL MAGNETIC STIMULATION IN CHILDREN: A SYSTEMATIC REVIEW OF THE LITERATURE.",2017,"Pediatric neurology"
"94","10.1136/BMJ.I6583",28202713,"WOS:000394579700001","VITAMIN D SUPPLEMENTATION TO PREVENT ACUTE RESPIRATORY TRACT INFECTIONS: SYSTEMATIC REVIEW AND META-ANALYSIS OF INDIVIDUAL PARTICIPANT DATA.",2017,"BMJ (Clinical research ed.)"
"95","10.1053/J.GASTRO.2017.02.003",28192108,"WOS:000402808600027","TIMELY USE OF PROBIOTICS IN HOSPITALIZED ADULTS PREVENTS CLOSTRIDIUM DIFFICILE INFECTION: A SYSTEMATIC REVIEW WITH META-REGRESSION ANALYSIS.",2017,"Gastroenterology"
"96","10.1165/RCMB.2016-0331OC",28170284,"WOS:000404619100010","GENETIC ASSOCIATION AND RISK SCORES IN A CHRONIC OBSTRUCTIVE PULMONARY DISEASE META-ANALYSIS OF 16,707 SUBJECTS.",2017,"American journal of respiratory cell and molecular biology"
"97","10.1002/EAT.22672",28152196,"WOS:000398841500001","A META-ANALYSIS OF THE RELATION BETWEEN THERAPEUTIC ALLIANCE AND TREATMENT OUTCOME IN EATING DISORDERS.",2017,"The International journal of eating disorders"
"98","10.1002/GPS.4652",28146334,"WOS:000399300400001","DEMENTIA AND CO-OCCURRING CHRONIC CONDITIONS: A SYSTEMATIC LITERATURE REVIEW TO IDENTIFY WHAT IS KNOWN AND WHERE ARE THE GAPS IN THE EVIDENCE?",2018,"International journal of geriatric psychiatry"
