"","X","url","author","title","journal","year","doi","JIF","maxRank","id","times.cited","coauthor","intext","librarian"
"89",89,"<Go to ISI>://WOS:000431742500017
https://www.tandfonline.com/doi/pdf/10.1080/09546634.2017.1364688?needAccess=true","C. Gibbons and S. Singh and B. Gibbons and C. Clark and J. Torres and M. Y. Cheng and E. A. Wang and A. W. Armstrong","Using qualitative methods to understand factors contributing to patient satisfaction among dermatology patients: a systematic review","JOURNAL OF DERMATOLOGICAL TREATMENT",2018,"10.1080/09546634.2017.1364688",2.112,52.27,"WOS:000431742500017",1,FALSE,FALSE,FALSE
"90",90,"<Go to ISI>://WOS:000442857300015","A. M. Giladi and J. R. Rinkinen and J. P. Higgins and M. L. Iorio","Donor-Site Morbidity of Vascularized Bone Flaps from the Distal Femur: A Systematic Review","PLASTIC AND RECONSTRUCTIVE SURGERY",2018,"10.1097/prs.0000000000004691",3.946,90.39,"WOS:000442857300015",NA,FALSE,FALSE,FALSE
"91",91,"https://www.ncbi.nlm.nih.gov/pubmed/28687263","Heather Gilmartin and Anupama Goyal and Mary C. Hamati and Jason Mann and Sanjay Saint and Vineet Chopra","Brief Mindfulness Practices for Healthcare Providers - A Systematic Literature Review","THE AMERICAN JOURNAL OF MEDICINE",2017,"10.1016/j.amjmed.2017.05.041",5.117,90,"pubmed/28687263",14,NA,TRUE,TRUE
"92",92,"https://www.ncbi.nlm.nih.gov/pubmed/24500437","Jacquelyn O' Herrin Glenn and Paul E. Wischmeyer","Enteral fish oil in critical illness: perspectives and systematic review","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE",2014,"10.1097/MCO.0000000000000039",3.989,86.36,"pubmed/24500437",11,FALSE,FALSE,FALSE
"93",93,"https://www.ncbi.nlm.nih.gov/pubmed/24637252
https://watermark.silverchair.com/gnu014.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApUwggKRBgkqhkiG9w0BBwagggKCMIICfgIBADCCAncGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMa5OarO-rZ2qfgqE0AgEQgIICSOlPkHcEgjk4vS2etyLyPepisfS6F12bzZaOtH1EAtYoYNG7CNi9ynawpt1k02aC5qT4oqsvpBD4Pcx46eiBaAcOCH5AKFFAM_Rbv0wMw1oXB26rTA1_0YFaJTnsCPgvwUgzrmm5wwbhZN2FPxNtLeDKO87x9PNWMqFeawBOnv2cibdP3V71lk0wYXQMvGjFIAF4lZ3MjBldPGNWdYt14DapgDTiWHBLo1sbDIfaM7ZNossV_sQQILvnfm8aHgUzJw2LhzZDcyNSsvP8gMCH5sHv80msPfqSbquyKyilUo-3S4YIm2a8fMpAYtRdVZ6Q60JrNoIQ-bfkXHK2kSsIxslM4sXPp3jZqfloT2K4ELjHIZcblx1bBKI9jYMlcCORHZRAResf-pF0N6TW32tpVINJupnpHxc4ZQQbRZyD5EeB8ojwMtF9eKm4G5s4u7A_qTqEdx2Y7Sc4RGnktupx9VRJXYcvJ6jiyrSkpB2PuVi4cQPxryEoIJ8mrc3G8ymb_ERR2EOSxWNE8s3f_IefSSudROYEadXybxBLWeoeoGdM_bY78zD74lXRmxJCNHio1qQb3py2HXMDIWY1vygX3j_pApNSr7w89yI0af70DyYphuf8Ouzf7MwneHQEvrhJAc39jFBgOEqgHV40b6XFMXcm-qizdB5iw5OJFvSQ-ocSu-4kPH7taiw0U_5KTzktrhHxbkjzwXdz5sqzvQjzZv47JAdTTuAIVGBs8alaRInXHj8sN35DD4d-vq6YjP8cL75ycR3QTarJ","R. Turner Goins and Jacqueline Jones and Marc Schure and Dori E. Rosenberg and Elizabeth A. Phelan and Sherry Dodson and Dina L. Jones","Older Adults' Perceptions of Mobility: A Metasynthesis of Qualitative Studies","THE GERONTOLOGIST",2015,"10.1093/geront/gnu014",3.168,92.19,"pubmed/24637252",25,TRUE,NA,TRUE
"94",94,"https://www.ncbi.nlm.nih.gov/pubmed/25346507
https://onlinelibrary.wiley.com/doi/full/10.1111/acer.12529","Carrie M. Goodson and Brendan J. Clark and Ivor S. Douglas","Predictors of severe alcohol withdrawal syndrome: a systematic review and meta-analysis","ALCOHOLISM, CLINICAL AND EXPERIMENTAL RESEARCH",2014,"10.1111/acer.12529",3.205,75,"pubmed/25346507",26,FALSE,FALSE,FALSE
"95",95,"https://www.ncbi.nlm.nih.gov/pubmed/28152196
https://onlinelibrary.wiley.com/doi/full/10.1002/eat.22672","Tiffany A. Graves and Nassim Tabri and Heather Thompson-Brenner and Debra L. Franko and Kamryn T. Eddy and Stephanie Bourion-Bedes and Amy Brown and Michael J. Constantino and Christoph Flückiger and Sarah Forsberg and Leanna Isserlin and Jennifer Couturier and Gunilla {Paulson Karlsson} and Johannes Mander and Martin Teufel and James E. Mitchell and Ross D. Crosby and Claudia Prestano and Dana A. Satir and Susan Simpson and Richard Sly and J. Hubert Lacey and Colleen Stiles-Shields and Giorgio A. Tasca and Glenn Waller and Shannon L. Zaitsoff and Renee Rienecke and Daniel {Le Grange} and Jennifer J. Thomas","A meta-analysis of the relation between therapeutic alliance and treatment outcome in eating disorders","THE INTERNATIONAL JOURNAL OF EATING DISORDERS",2017,"10.1002/eat.22672",3.897,89.1,"pubmed/28152196",25,FALSE,FALSE,FALSE
"96",96,"https://www.ncbi.nlm.nih.gov/pubmed/29083525
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6489503/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6489503/pdf/nihms-928638.pdf","Yarah M. Haidar and Prem B. Tripathi and Tjoson Tjoa and Sartaaj Walia and Lishi Zhang and Yanjun Chen and Danh V. Nguyen and Hossein Mahboubi and William B. Armstrong and Julie A. Goddard","Antibiotic prophylaxis in clean-contaminated head and neck cases with microvascular free flap reconstruction: A systematic review and meta-analysis","HEAD & NECK",2018,"10.1002/hed.24988",2.442,77.38,"pubmed/29083525",10,FALSE,FALSE,FALSE
"97",97,"<Go to ISI>://WOS:000342662300013
https://watermark.silverchair.com/neurosurgery-75-4-327.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAtAwggLMBgkqhkiG9w0BBwagggK9MIICuQIBADCCArIGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMxZAGDxWqYeCiSeX4AgEQgIICg_R-D_D59ETJNOWIccw7vq4-9C3_cx8v00Da3QokACz2fsNa_L9KMUuDZhsUFMLgA5QaYl6QiNSljYEZgS9GDNedQR151zfNumnOn7EYCuW6USYdeGm06vBHiBtORk2Q6oDvWuhZcqNIOTvQ9_sw3z8csyX57WLyJu6xk5u4Odmp9s4MNTMxrNBvqxplCT5rb-d8IfdMsboopXwcN20jpIZshVqLXxhU1imgunkqEPfWH8LWr02Yb_g2ru8jOpr6DQtL-8xRfbupYBwMiZND7AWXZZsMNDuT0jYtEWHEGNV3G4NhXSy3xH98TIfTxCxDAWoUpaAgSNMt3fW-c2BZaQ_3UYgYjSxHpXVFIYlQSAnsL8rT7h2SHhvHWZqppAOIuGQjEI-hw2zjCh7umCJcs9UdukI7ooesmwR0oBjCPaMlCFRQNr1TxoW5T1xvlTySRcUA4hAFdY8-bDfPqEP_ZpZSRU5ixTdkMLyZesvnym5fbGdi4dkS1pKrwOPfiPlp3Jf-H41qWHwS03eiUwaHMIrbUZlarRurAlvglEN6fIrsFOe8KNmN_cud1w917esfzMyBFqlxLqpQucYhfyucXy98IgCYFxHHsPMFLFBvDRdjEDh81VJjBfouJtyCegfTz1oZeQRIM9sYEGQ44Q6qPU3x3-QyvmgfWq1kwNbhiWUnTRO8O2KF7XvO4YAwHaN9r9bPOAQRNC_GxppwL0SmYcp9USX7s-rSUBF-Q4674yB3KiSA5CYywT2srdIXGwBHPIjcpHx8NR0vvXThrZF2EYnJkvTGV3v5T3blDEgTgcVbMW37Wzr6QfXfhG254jT2sAvTNJ0e8XjloXS0qOkl4Wcz8k0","C. Hamani and J. Pilitsis and A. I. Rughani and J. M. Rosenow and P. G. Patil and K. S. Slavin and A. Abosch and E. Eskandar and L. S. Mitchell and S. Kalkanis","Deep Brain Stimulation for Obsessive-Compulsive Disorder: Systematic Review and Evidence-Based Guideline Sponsored by the American Society for Stereotactic and Functional Neurosurgery and the Congress of Neurological Surgeons (CNS) and Endorsed by the CNS and American Association of Neurological Surgeons","NEUROSURGERY",2014,"10.1227/neu.0000000000000499",3.62,89.65,"WOS:000342662300013",NA,FALSE,FALSE,FALSE
"98",98,"https://www.ncbi.nlm.nih.gov/pubmed/28496286
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5421550/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5421550/pdf/nihms817145.pdf","Erin P. Hambrick and Shani Oppenheim-Weller and Amanda M. N'zi and Heather N. Taussig","Mental Health Interventions for Children in Foster Care: A Systematic Review","CHILDREN AND YOUTH SERVICES REVIEW",2016,"10.1016/j.childyouth.2016.09.002",1.226,65.48,"pubmed/28496286",10,FALSE,FALSE,FALSE
"99",99,"<Go to ISI>://WOS:000440339700002","E. P. Harausz and A. J. Garcia-Prats and S. Law and H. S. Schaaf and T. Kredo and J. A. Seddon and D. Menzies and A. Turkova and J. Achar and F. Amanullah and P. Barry and M. Becerra and E. D. Chan and P. C. Chan and D. I. Chiotan and A. Crossa and P. C. Drobac and L. Fairlie and D. Falzon and J. Flood and M. Gegia and R. M. Hicks and P. Isaakidis and S. M. Kadri and B. Kampmann and S. A. Madhi and E. Marais and A. Mariandyshev and A. Mendez-Echevarria and B. K. Moore and P. Nargiza and I. Ozere and N. Padayatchi and Rehman {Saleem ur} and N. Rybak and B. Santiago-Garcia and N. S. Shah and S. Sharma and T. S. Shim and A. Skrahina and A. Soriano-Arandes and M. {van den Boom} and M. J. {van der Werf} and T. S. {van der Werf} and B. Williams and E. Yablokova and J. J. Yim and J. Furin and A. C. Hesseling and Meta-Analysis {Collaborative Grp}","Treatment and outcomes in children with multidrug-resistant tuberculosis: A systematic review and individual patient data meta-analysis","PLOS MEDICINE",2018,"10.1371/journal.pmed.1002591",11.048,95.31,"WOS:000440339700002",14,FALSE,FALSE,FALSE
"100",100,"https://www.ncbi.nlm.nih.gov/pubmed/26547687
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4637141/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4637141/pdf/13643_2015_Article_141.pdf","Samantha M. Harden and Bridget Gaglio and Jo Ann Shoup and Kimberlee A. Kinney and Sallie Beth Johnson and Fabiana Brito and Kacie C. A. Blackman and Jamie M. Zoellner and Jennie L. Hill and Fabio A. Almeida and Russell E. Glasgow and Paul A. Estabrooks","Fidelity to and comparative results across behavioral interventions evaluated through the RE-AIM framework: a systematic review","SYSTEMATIC REVIEWS",2015,"10.1186/s13643-015-0141-0",6.103,92.58,"pubmed/26547687",29,FALSE,FALSE,FALSE
"101",101,"https://www.ncbi.nlm.nih.gov/pubmed/25353703","Curtis S. Harrod and Cynthia W. Goss and Lorann Stallones and Carolyn DiGuiseppi","Interventions for primary prevention of suicide in university and other post-secondary educational settings","THE COCHRANE DATABASE OF SYSTEMATIC REVIEWS",2014,"10.1002/14651858.CD009439.pub2",6.035,91.88,"pubmed/25353703",12,FALSE,FALSE,FALSE
"102",102,"https://www.ncbi.nlm.nih.gov/pubmed/29960616","George A. Heckman and Alyana Karim Shamji and Raisa Ladha and Jackie Stapleton and Veronique Boscart and Rebecca S. Boxer and Lora Bruyn Martin and Lauren Crutchlow and Robert S. McKelvie","Heart Failure Management in Nursing Homes: A Scoping Literature Review","THE CANADIAN JOURNAL OF CARDIOLOGY",2018,"10.1016/j.cjca.2018.04.006",5.592,83.46,"pubmed/29960616",4,TRUE,NA,TRUE
"103",103,"https://www.ncbi.nlm.nih.gov/pubmed/28434926","Allen Heinemann and Jason Raad and Venu Akuthota and Neil Segal and Kristian P. Nitsch and Monica Rho and Leighton Chan and Ellen Casey and Joel Press and Gwendolyn Sowa and Jennifer Moore","Scoping review to develop common data elements for lumbar spinal stenosis","THE SPINE JOURNAL : OFFICIAL JOURNAL OF THE NORTH AMERICAN SPINE SOCIETY",2017,"10.1016/j.spinee.2017.04.005",3.119,86.36,"pubmed/28434926",1,FALSE,FALSE,FALSE
"104",104,"https://www.ncbi.nlm.nih.gov/pubmed/29624188
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6278929/
https://mdedge-files-live.s3.us-east-2.amazonaws.com/files/s3fs-public/Document/March-2018/jhm013040256.pdf","Shoshana J. Herzig and Susan L. Calcaterra and Hilary J. Mosher and Matthew V. Ronan and Nicole Van Groningen and Lili Shek and Anthony Loffredo and Michelle Keller and Anupam B. Jena and Teryl K. Nuckols","Safe Opioid Prescribing for Acute Noncancer Pain in Hospitalized Adults: A Systematic Review of Existing Guidelines","JOURNAL OF HOSPITAL MEDICINE",2018,"10.12788/jhm.2979",2.276,66.56,"pubmed/29624188",2,FALSE,FALSE,FALSE
"105",105,"https://www.ncbi.nlm.nih.gov/pubmed/28465865
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5406232/
https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0037-1602658.pdf","Kent D. Heyborne","A Systematic Review of Intrapartum Fetal Head Compression: What Is the Impact on the Fetal Brain?","AJP REPORTS",2017,"10.1055/s-0037-1602658",1.623,47.18,"pubmed/28465865",2,FALSE,FALSE,FALSE
"106",106,"https://www.ncbi.nlm.nih.gov/pubmed/27615798","Mary K. Hill and Azin {Kheirandish Pishkenari} and Taylor L. Braunberger and April W. Armstrong and Cory A. Dunnick","Recent trends in disease severity and quality of life instruments for patients with atopic dermatitis: A systematic review","JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY",2016,"10.1016/j.jaad.2016.07.002",7.002,99.21,"pubmed/27615798",19,FALSE,FALSE,FALSE
"107",107,"https://www.ncbi.nlm.nih.gov/pubmed/29753832
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6104633/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6104633/pdf/nihms-979953.pdf","Brittany T. Hines and Matthew A. Rank and Benjamin L. Wright and Lisa A. Marks and John B. Hagan and Alex Straumann and Matthew Greenhawt and Evan S. Dellon","Minimally invasive biomarker studies in eosinophilic esophagitis: A systematic review","ANNALS OF ALLERGY, ASTHMA & IMMUNOLOGY : OFFICIAL PUBLICATION OF THE AMERICAN COLLEGE OF ALLERGY, ASTHMA, & IMMUNOLOGY",2018,"10.1016/j.anai.2018.05.005",3.56,57.91,"pubmed/29753832",6,TRUE,NA,TRUE
"108",108,"https://www.ncbi.nlm.nih.gov/pubmed/30307509
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6295794/
https://watermark.silverchair.com/dmy032.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAoswggKHBgkqhkiG9w0BBwagggJ4MIICdAIBADCCAm0GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMuCCagah7cpeMxLmjAgEQgIICPnBkgYGaypwNya2Ge_9O0Ljio4nxXatHNjst1S5ktr1dZiRGX7uwrtpajam4cxpcP1rhOCYYyZGBXTbdoYpHiT-b_RNyQIFk-vvboacTCp8OmuQmFpL8N3QPjxE7QGanDjADMtTCPcd0JVoSSMDyKxfW52CBD-CXDPG3CEmPcE6BtIPE45ndvCmM2Nj4R3bxtl-_8ySUDfIZWgzUv7nCE5LkGD-ME29496FYXBpleXvaB51bVhbWB9JW8aI-iJq5teiStXjmgxhf1HRdTGk-_tWv3Ow6G-9xhZUMb-g-iwtiD5glAr5fxMwSFjemUrRvVFTtMKpcbUDwJ4hscK4YWdkHVFn1zfCxLsgKmdobTLEkKlwKdd5smlWdKWjAMqX_9ieuHNhzwK-3sAspxHk1hGBgwmn-GjpsnRSBQZxemFsIe947TTpvDWX1zyLZFOybX52uDgzcN8xys464wV5y8DJhsLq637_i0-9heNNHm_es9OMDCSQFsTBhee7cseAFsxoeiW1PFkZ_4AQJX1pzA7VUR8_T1X4w8HGDz2_2NUgUj2WoUh8jtwZajIAN3P61ouFYZMWT-ZGrFnp8KQNXc2WLkZWwzK5ocPw5KBWye-2y4CTrtRWOFlI7DYkCDQ1-uIema1CQKMJ9hVCyXf50wELTm4LHFUVNQ-Qq7M9oMcYAeHT1kpG5p_aItvaYzbC4psY7_3GfQkNoOPwGBUrvCtOywbqnzaU9CE73omPy2YLxTlK7bHrWR9gHHdfLkis","Alison E. Hipwell and Linda G. Kahn and Pam Factor-Litvak and Christina A. Porucznik and Eva L. Siegel and Raina N. Fichorova and Richard F. Hamman and Michele Klein-Fedyshin and Kim G. Harley and Outcomes {program collaborators for Environmental influences on Child Health}","Exposure to non-persistent chemicals in consumer products and fecundability: a systematic review","HUMAN REPRODUCTION UPDATE",2019,"10.1093/humupd/dmy032",12.878,99.4,"pubmed/30307509",2,TRUE,NA,TRUE
"109",109,"https://www.ncbi.nlm.nih.gov/pubmed/29568518
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859548/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859548/pdf/40035_2018_Article_112.pdf","Mark A. Hirsch and Erwin E. H. {van Wegen} and Mark A. Newman and Patricia C. Heyn","Exercise-induced increase in brain-derived neurotrophic factor in human Parkinson's disease: a systematic review and meta-analysis","TRANSLATIONAL NEURODEGENERATION",2018,"10.1186/s40035-018-0112-1",5.534,83.71,"pubmed/29568518",10,FALSE,FALSE,FALSE
"110",110,"https://www.ncbi.nlm.nih.gov/pubmed/28731200
https://onlinelibrary.wiley.com/doi/full/10.1111/sltb.12369","Adam S. Hoffberg and Elizabeth Spitzer and Jessica L. Mackelprang and Samantha A. Farro and Lisa A. Brenner","Suicidal Self-Directed Violence Among Homeless US Veterans: A Systematic Review","SUICIDE & LIFE-THREATENING BEHAVIOR",2018,"10.1111/sltb.12369",3.032,82.85,"pubmed/28731200",3,NA,TRUE,TRUE
"111",111,"https://www.ncbi.nlm.nih.gov/pubmed/26998505
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4792517/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4792517/pdf/MDC3-3-9.pdf","Samantha K. Holden and Wallace E. Jones and Keith A. Baker and Isabel M. Boersma and Benzi M. Kluger","Outcome measures for Parkinson's disease dementia: a systematic review","MOVEMENT DISORDERS CLINICAL PRACTICE",2016,"10.1002/mdc3.12225",7.072,93.56,"pubmed/26998505",5,FALSE,FALSE,FALSE
"112",112,"https://www.ncbi.nlm.nih.gov/pubmed/24682495
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4078282/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4078282/pdf/amiajnl-2013-002370.pdf","John H. Holmes and Thomas E. Elliott and Jeffrey S. Brown and Marsha A. Raebel and Arthur Davidson and Andrew F. Nelson and Annie Chung and Pierre {La Chance} and John F. Steiner","Clinical research data warehouse governance for distributed research networks in the USA: a systematic review of the literature","JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION : JAMIA",2014,"10.1136/amiajnl-2013-002370",3.504,94.6,"pubmed/24682495",17,FALSE,FALSE,FALSE
"113",113,"https://www.ncbi.nlm.nih.gov/pubmed/25955196","Stephanie A. Hooker and Megan E. Grigsby and Barbara Riegel and David B. Bekelman","The Impact of Relationship Quality on Health-Related Outcomes in Heart Failure Patients and Informal Family Caregivers: An Integrative Review","THE JOURNAL OF CARDIOVASCULAR NURSING",2015,"10.1097/JCN.0000000000000270",2.172,95.26,"pubmed/25955196",NA,FALSE,FALSE,FALSE
"114",114,"https://www.ncbi.nlm.nih.gov/pubmed/27846848
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5111259/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5111259/pdf/12978_2016_Article_251.pdf","Andrea J. Hoopes and Paras Agarwal and Sheana Bull and Venkatraman Chandra-Mouli","Measuring adolescent friendly health services in India: A scoping review of evaluations","REPRODUCTIVE HEALTH",2016,"10.1186/s12978-016-0251-8",2.209,63.92,"pubmed/27846848",4,FALSE,FALSE,FALSE
"115",115,"https://www.ncbi.nlm.nih.gov/pubmed/26678996
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683715/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683715/pdf/12889_2015_Article_2585.pdf","Karolina Horodyska and Aleksandra Luszczynska and Catherine B. Hayes and Miriam P. O'Shea and Lars J. Langøien and Gun Roos and Matthijs {van den Berg} and Marieke Hendriksen and Ilse {De Bourdeaudhuij} and Johannes Brug","Implementation conditions for diet and physical activity interventions and policies: an umbrella review","BMC PUBLIC HEALTH",2015,"10.1186/s12889-015-2585-5",2.209,66.76,"pubmed/26678996",11,FALSE,FALSE,FALSE
"116",116,"<Go to ISI>://WOS:000349415300003
https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-015-1354-9","K. Horodyska and A. Luszczynska and M. {van den Berg} and M. Hendriksen and G. Roos and I. {De Bourdeaudhuij} and J. Brug","Good practice characteristics of diet and physical activity interventions and policies: an umbrella review","BMC PUBLIC HEALTH",2015,"10.1186/s12889-015-1354-9",2.209,66.76,"WOS:000349415300003",33,FALSE,FALSE,FALSE
"117",117,"https://www.ncbi.nlm.nih.gov/pubmed/29340746
https://link.springer.com/content/pdf/10.1007%2Fs00167-018-4838-1.pdf","Darby A. Houck and Matthew J. Kraeutler and John W. Belk and Eric C. McCarty and Jonathan T. Bravman","Similar clinical outcomes following collagen or polyurethane meniscal scaffold implantation: a systematic review","KNEE SURGERY, SPORTS TRAUMATOLOGY, ARTHROSCOPY : OFFICIAL JOURNAL OF THE ESSKA",2018,"10.1007/s00167-018-4838-1",3.149,83.73,"pubmed/29340746",6,FALSE,FALSE,FALSE
"118",118,"https://www.ncbi.nlm.nih.gov/pubmed/30364394
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6196635/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6196635/pdf/10.1177_2325967118801762.pdf","Darby A. Houck and Matthew J. Kraeutler and Eric C. McCarty and Jonathan T. Bravman","Fixed- Versus Adjustable-Loop Femoral Cortical Suspension Devices for Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Biomechanical Studies","ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE",2018,"10.1177/2325967118801762",2.589,71.71,"pubmed/30364394",4,FALSE,FALSE,FALSE
"119",119,"https://www.ncbi.nlm.nih.gov/pubmed/28288280","Darby A. Houck and Matthew J. Kraeutler and Hayden B. Schuette and Eric C. McCarty and Jonathan T. Bravman","Early Versus Delayed Motion After Rotator Cuff Repair: A Systematic Review of Overlapping Meta-analyses","THE AMERICAN JOURNAL OF SPORTS MEDICINE",2017,"10.1177/0363546517692543",6.057,99.35,"pubmed/28288280",11,FALSE,FALSE,FALSE
"120",120,"https://www.ncbi.nlm.nih.gov/pubmed/29453743
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6037312/
https://link.springer.com/content/pdf/10.1007%2Fs40279-018-0871-y.pdf","David R. Howell and Robert C. Lynall and Thomas A. Buckley and Daniel C. Herman","Neuromuscular Control Deficits and the Risk of Subsequent Injury after a Concussion: A Scoping Review","SPORTS MEDICINE (AUCKLAND, N.Z.)",2018,"10.1007/s40279-018-0871-y",7.583,98.19,"pubmed/29453743",12,FALSE,FALSE,FALSE
"121",121,"https://www.ncbi.nlm.nih.gov/pubmed/27662450
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079177/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079177/pdf/nihms813981.pdf","Jeremy T. Hua and Kerry L. Hildreth and Victoria S. Pelak","Effects of Testosterone Therapy on Cognitive Function in Aging: A Systematic Review","COGNITIVE AND BEHAVIORAL NEUROLOGY : OFFICIAL JOURNAL OF THE SOCIETY FOR BEHAVIORAL AND COGNITIVE NEUROLOGY",2016,"10.1097/WNN.0000000000000104",1.312,18.81,"pubmed/27662450",10,FALSE,FALSE,FALSE
"122",122,"https://www.ncbi.nlm.nih.gov/pubmed/27688245","Jennifer L. Huberty and Jeni Matthews and Jenn Leiferman and Janice Hermer and Joanne Cacciatore","When a Baby Dies: A Systematic Review of Experimental Interventions for Women After Stillbirth","REPRODUCTIVE SCIENCES (THOUSAND OAKS, CALIF.)",2017,"10.1177/1933719116670518",2.548,67.68,"pubmed/27688245",3,TRUE,NA,TRUE
"123",123,"<Go to ISI>://WOS:000389600100020","G. Huf and J. Alexander and P. Gandhi and M. H. Allen","Haloperidol plus promethazine for psychosis-induced aggression","COCHRANE DATABASE OF SYSTEMATIC REVIEWS",2016,"10.1002/14651858.CD005146.pub3",6.264,91.29,"WOS:000389600100020",15,FALSE,FALSE,FALSE
"124",124,"https://www.ncbi.nlm.nih.gov/pubmed/24868153
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027920/
https://www.dovepress.com/getfile.php?fileID=20031","Imran H. Iftikhar and Franklin R. McGuire and Ali I. Musani","Efficacy of bronchoscopic lung volume reduction: a meta-analysis","INTERNATIONAL JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE",2014,"10.2147/COPD.S63378",3.141,71.55,"pubmed/24868153",12,FALSE,FALSE,FALSE
"125",125,"https://www.ncbi.nlm.nih.gov/pubmed/26085510","Imran H. Iftikhar and Ali I. Musani","Narrow-band imaging bronchoscopy in the detection of premalignant airway lesions: a meta-analysis of diagnostic test accuracy","THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE",2015,"10.1177/1753465815589698",2.286,47.41,"pubmed/26085510",15,FALSE,FALSE,FALSE
"126",126,"https://www.ncbi.nlm.nih.gov/pubmed/28284682
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404696/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404696/pdf/nihms855144.pdf","Pui-Ying {Iroh Tam} and Beth K. Thielen and Stephen K. Obaro and Ann M. Brearley and Alexander M. Kaizer and Haitao Chu and Edward N. Janoff","Childhood pneumococcal disease in Africa - A systematic review and meta-analysis of incidence, serotype distribution, and antimicrobial susceptibility","VACCINE",2017,"10.1016/j.vaccine.2017.02.045",3.285,61.28,"pubmed/28284682",8,FALSE,FALSE,FALSE
"127",127,"https://www.ncbi.nlm.nih.gov/pubmed/27531519
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055550/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055550/pdf/12325_2016_Article_388.pdf","Sabita M. Ittoop and Jeffrey R. SooHoo and Leonard K. Seibold and Kaweh Mansouri and Malik Y. Kahook","Systematic Review of Current Devices for 24-h Intraocular Pressure Monitoring","ADVANCES IN THERAPY",2016,"10.1007/s12325-016-0388-4",2.709,55.84,"pubmed/27531519",15,FALSE,FALSE,FALSE
"128",128,"https://www.ncbi.nlm.nih.gov/pubmed/27615023
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5310124/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5310124/pdf/main.pdf","Snigdha Jain and Rohan Khera and Saket Girotra and David Badesch and Zhen Wang and Mohammad Hassan Murad and Amy Blevins and Gregory A. Schmidt and Siddharth Singh and Alicia K. Gerke","Comparative Effectiveness of Pharmacologic Interventions for Pulmonary Arterial Hypertension: A Systematic Review and Network Meta-Analysis","CHEST",2017,"10.1016/j.chest.2016.08.1461",7.652,89.39,"pubmed/27615023",16,TRUE,NA,TRUE
